system,user,new_system,new_user,lev_sys,jac_sys,cos_sys,dam_sys,lev_user,jac_user,cos_user,dam_user
Please confirm Doctor appointment at 2400 Samaritan Drive #105 on March 9th at 5:15 pm.,Fantastic.,Please confirm Doctor appointment at 2400 Samaritan Drive #105 on March 9th at 5:15 pm.,That's wonderful news! I am delighted to confirm the doctor's appointment at 2400 Samaritan Drive #105 on March 9th at 5:15 pm.,1.0,1.0,1.0,1.0,0.06299212598425197,0.0,0.0,0.06299212598425197
Do you want anything else?,Nope. That is all I need. Thank you.,Do you want anything else?,Nope. That is all I need. Thank you.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
The venue starts at 5 pm at 100 California Drive,Thanks for the help thats what I need now.,The venue starts at 5 pm at 100 California Drive.,"Thank you so much for your assistance, that's exactly what I needed.",0.9795918367346939,0.8181818181818182,0.9,0.9795918367346939,0.42647058823529416,0.16666666666666663,0.28867513459481287,0.42647058823529416
"The reservation has been a success, have fun!","Thanks so much, I don't need anything else right now.","The reservation has been a success, have fun!","Thanks so much, I don't need anything else right now.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Is there anything else I can do for you today?,"No, you've got it covered. Thank you again.",Is there anything else I can do for you today?,"No, you've got it covered. Thank you again.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Where are you visiting?,I am going to Vancouver.,Where are you visiting?,I am going to Vancouver.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
It arrives at 5:56 am.,When does the returning flight arrive? How many stops are there?,It arrives at 5:56 am.,When will the return flight land? Can you tell me the number of layovers it has?,1.0,1.0,1.0,1.0,0.4125,0.125,0.2261335084333227,0.4125
Check-out date will be on?,It will be great to be in 8th of March.,Check-out date will be on?,It will be great to be in 8th of March.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Where will you be going?,"If all goes as planned, I'll be going to SF on the 10th of this month.",Where will you be going?,"If all goes as planned, I'll be heading to San Francisco on the 10th of this month.",1.0,1.0,1.0,1.0,0.8192771084337349,0.7368421052631579,0.8488746876271654,0.8192771084337349
I've confirmed the tickets for you.,Great thank you.,I've confirmed the tickets for you.,Great thank you.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
In which city? What kind of event do you like? Like Music or Sports or anything else?,I'd love a Music event here in Philadelphia.,In which city? What kind of event do you like? Like Music or Sports or anything else?,I'd love a Music event here in Philadelphia.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Great, I was able to reserve your ticket.","Alright, now i'm going to need to search for a hotel that takes pets.","Great, I was able to reserve your ticket.","Alright, now I'm going to need to search for a hotel that takes pets.",1.0,1.0,1.0,1.0,0.9855072463768116,0.8666666666666667,0.9285714285714286,0.9855072463768116
The house at 1000 1st Avenue is among 10 houses that you may like. It has a rating of 4.5.,"I'd like to consider other houses with a 4.5 rating, or even higher.",The house at 1000 1st Avenue is among 10 houses that you may like. It has a rating of 4.5.,"I'd like to consider other houses with a 4.5 rating, or even higher.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Yes, I can do that. Until what date will you need this car?",I need a car that will be available through March 5th.,"Yes, I can do that. Until what date will you need this car?",I need a car that will be available through March 5th.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
The cab should be here in 3 minutes.,Thank you for your help.,The cab should be here in 3 minutes.,Thank you for your help.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
No problem. Can I help you with anything else?,"No, not right now. Thanks again!",No problem. Can I help you with anything else?,"No, not right now. Thanks again!",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
I found 7 buses. One costs $70 and departs at 7:40 am with 1 transfer.,Great. Please reserve it.,I found 7 buses. One costs $70 and departs at 7:40 am with 1 transfer.,Great. Please reserve it.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Sorry, I couldn't book the tickets. How about a bus departing at 6:40 am for $11 per person?","Yeah, that's okay.","Sorry, I couldn't book the tickets. How about a bus departing at 6:40 am for $11 per person?","Yeah, that's okay.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
I've successfully booked your tickets.,Thanks so much for everything. Can you also look for two hotel rooms at the destination?,I've successfully booked your tickets.,Thank you so much for everything. Could you also help me find two hotel rooms at the destination?,1.0,1.0,1.0,1.0,0.8247422680412371,0.5454545454545454,0.7071067811865476,0.8247422680412371
Kingsford Smith International Airport. It arrives at 1:06 pm,"Ok, It's good for me. I need a house to stay there",Kingsford Smith International Airport. It arrives at 1:06 pm,"Ok, It's good for me. I need a house to stay there",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
When will you be back?,I'll be back on the 11th of this month.,When will you be back?,I'll be back on the 11th of this month.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Would you like me to book the tickets for you?,"No, Don't book the tickets now. Can you get back to reserving 3 rooms in the hotel you found?",Would you like me to book the tickets for you?,"No, Don't book the tickets now. Can you get back to reserving 3 rooms in the hotel you found?",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Right now it's 102 degrees Fahrenheit with a 0 percent change of raining.,"It sounds delightful, I need to get a cab.",Right now it's 102 degrees Fahrenheit with a 0 percent change of raining.,"It sounds delightful, I need to get a cab.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
$140 in full,anything rlse there?,$140 in full,Anything else there? How about this lovely painting over here?,1.0,1.0,1.0,1.0,0.29032258064516125,0.08333333333333337,0.18257418583505536,0.29032258064516125
The average temperature for the day should be around 70 degrees Fahrenheit. There is 38 percent chance for rain.,"Yeah, sure. Can you help me to find any kind of attraction that would be cool there?",The average temperature for the day should be around 70 degrees Fahrenheit. There is 38 percent chance for rain.,"Yeah, sure. Can you help me to find any kind of attraction that would be cool there?",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Confirming that you want 4 tickets to Amber Run Brooklyn taking place in New York on March 11th?,No. Just one ticket.,Confirming that you want 4 tickets to Amber Run Brooklyn taking place in New York on March 11th?,No. Just one ticket.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
You will leave from Union Plaza and arrive at Salesforce Transit Center.,Great. I would like to purchase 2 bus tickets.,You will leave from Union Plaza and arrive at Salesforce Transit Center.,Great. I would like to purchase 2 bus tickets.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
The address is 100 Shoreditch High Street and phone number is +44 20 7613 9800.,"Is anything else available? I need hotels around Paris, France. I need three rooms.",The address is 100 Shoreditch High Street and phone number is +44 20 7613 9800.,"Is there anything else available? I'm looking for hotels in Paris, France. I need three rooms.",1.0,1.0,1.0,1.0,0.7553191489361702,0.5789473684210527,0.7349684152591671,0.7553191489361702
Okay. The car is reserved.,"Okay, great. While I have the car, I want to check out a funny movie at AMC Metreon.",Okay. The car is reserved.,"Okay, great. While I have the car, I want to check out a funny movie at AMC Metreon.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
please confirm your shared ride for 3 people going to 140 new montgomery street #1,yes please,Please confirm your shared ride for 3 people going to 140 New Montgomery Street #1.,"Yes, please!",0.9397590361445783,0.5,0.6666666666666666,0.9397590361445783,0.75,0.0,0.0,0.75
,Please help me find one-way flights.,Please help me find one-way flights.,"Sure, I can help you with that. Where are you planning to fly to?",0.0,0.0,0.0,0.0,0.27692307692307694,0.05263157894736836,0.10910894511799618,0.27692307692307694
"There are 10 houses in the area. Do you want a hotel of 4.3 rating located at 12, doctor apj abdul kalam road, new delhi","Perfect, thats all i need","There are 10 houses in the area. Do you want a hotel of 4.3 rating located at 12, doctor apj abdul kalam road, new delhi","Perfect, thats all i need",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Will you be looking for a dermatologist, ophthalmologist or something else?",I need an ophthalmologist.,"Will you be seeking a dermatologist, ophthalmologist, or another specialist?",I need an ophthalmologist.,0.7105263157894737,0.4,0.5720775535473553,0.7105263157894737,1.0,1.0,1.0,1.0
Do you wish to play the movie?,Nope. I am not interested in doing it.,Do you want to explore the movie world?,Nope. I am not interested in doing it.,0.641025641025641,0.36363636363636365,0.5345224838248488,0.641025641025641,1.0,1.0,1.0,1.0
I found a Compact Chevrolet Bolt car for pick up on March 4th from John Wayne Airport.,Can you find me it's total cost?,I found a Compact Chevrolet Bolt car for pick up on March 4th from John Wayne Airport.,Can you find me it's total cost?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Please confirm the following: Play Breakthrough with no subtitles.,"No, I want subtitles.",Please confirm the following: Play Breakthrough with no subtitles.,"No, I want subtitles.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
What time do you want to eat?,Book a table for 2 at eleven in the morning.,What time do you want to eat?,Book a table for 2 at eleven in the morning.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Would you like my help with anything else?,Could you also check for a round-trip flight going there?,Would you like my help with anything else?,Could you also check for a round-trip flight going there?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,I need tickets for a short flight i need to get.,Hello! How may I assist you today?,I need tickets for a short flight I need to get.,0.0,0.0,0.0,0.0,0.9791666666666666,0.8333333333333334,0.9090909090909091,0.9791666666666666
"Sorry, I wasn't able to schedule a visit. Is there anything else you need?","No, that would be all.","Sorry, I wasn't able to schedule a visit. Is there anything else you need?","No, that would be all.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Is there anything else I can help you with?,No. That will be all. Thank you!,Is there anything else I can assist you with?,No. That will be all. Thank you!,0.8666666666666667,0.8,0.8888888888888888,0.8666666666666667,1.0,1.0,1.0,1.0
Do you prefer The Innocent?,Innocent is good!,Do you prefer The Innocent?,Innocent is good!,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,Would you help me find a bus trip? I prefer Economy extra tickets.,"Sure, I can help you with that. Let's look for a bus trip with Economy extra tickets.",Would you help me find a bus trip? I prefer Economy extra tickets.,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Your ticket has been successfully confirmed.,"Awesome, thanks for your help.",Your ticket has been successfully confirmed.,"Awesome, thanks for your help.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Savings or checking?,Checking account.,Savings or checking?,Checking account.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
There is 1 song called Love Me Like You by Little Mix from the album Get Weird.,What year the song is from?,There is 1 song called Love Me Like You by Little Mix from the album Get Weird.,What year was the song released?,1.0,1.0,1.0,1.0,0.625,0.5,0.6666666666666666,0.625
"Sure, please confirm: play Paris on kitchen speaker. Does this sound right?",No wait. play this on speaker in the bedroom please.,"Sure, please confirm: play Paris on kitchen speaker. Does this sound right?",No wait. play this on speaker in the bedroom please.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,I'm planning on going on a short trip with friends. Can you find me a bus?,The user asked for help in finding a bus for a short trip with friends.,I'm super excited about planning this short trip with my friends! Do you think you could help me find a bus for us?,0.0,0.0,0.0,0.0,0.4782608695652174,0.30000000000000004,0.4691574316284183,0.4782608695652174
Play it now?,"No, not yet.",Play it now?,"No, not yet.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Confirming a standard vehicle rental on March 11th for a 12:30 PM pick up from SFO International Airport and a return on March 14th.,Great. How much is that?,Confirming a standard vehicle rental on March 11th for a 12:30 PM pick up from SFO International Airport and a return on March 14th.,Great. How much is that?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
your room is booked,please search a song for me,I have booked your room. Would you like me to assist you in finding a song?,Please search a song for me.,0.19999999999999996,0.11111111111111116,0.25,0.19999999999999996,0.9285714285714286,0.5,0.6666666666666666,0.9285714285714286
You have a restaurant reservation for 4 at Betty Spaghetti starting at 11:30 am.,"Sounds good, when am I available?",You have a restaurant reservation for 4 at Betty Spaghetti starting at 11:30 am.,"Sounds good, when am I available?",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
How long would you like to have the room for?,I'd like to have the room for 3 days.,How long would you like to have the room for?,I'd like to have the room for 3 days.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,Can you find some attractions for me? I prefer a garden.,Can you find some attractions for me? I prefer a garden.,Sure! I know a beautiful botanical garden nearby that you might enjoy.,0.0,0.0,0.0,0.0,0.24285714285714288,0.15000000000000002,0.2611164839335467,0.24285714285714288
Where would you leave from and when are you going to be back?,I will be leaving from Los Angeles and be back on the 4th of this month.,Where are you departing from and when do you plan to return?,I will be departing from Los Angeles and returning on the 4th of this month.,0.5901639344262295,0.47058823529411764,0.6405126152203485,0.5901639344262295,0.8421052631578947,0.7222222222222222,0.8391463916782737,0.8421052631578947
Your reservation has been made. The price range is moderate.,"Thanks, I want to add it to my calendar.",Your reservation has been made. The price range is moderate.,"Thanks, I want to add it to my calendar.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4 choices await. What about 4.3 rated Best Western Plus Las Vegas West?,"Ideal, I love that.",4 choices await. What about 4.3 rated Best Western Plus Las Vegas West?,"Ideal, I love that.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,Can I make a restaurant reservation? I want it on March 12th.,Can I make a restaurant reservation? I want it on March 12th.,Sure! I'd love to help with that. What type of cuisine are you interested in for the reservation?,0.0,0.0,0.0,0.0,0.2680412371134021,0.03448275862068961,0.06804138174397711,0.2680412371134021
Just to confirm you need 1 economy ticket for American Airlines departing Mexico City on March 3rd at 8:05 am going to Phoenix. Then returning on March 14th at 3:55 pm.,That's awesome. What time do I arrive in Phoenix?,Just to confirm you need 1 economy ticket for American Airlines departing Mexico City on March 3rd at 8:05 am going to Phoenix. Then returning on March 14th at 3:55 pm.,That's awesome. What time do I arrive in Phoenix?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
I also found Yankees vs Blue Jays at Yankee Stadium on March 5th.,That works for me. I'd also like to find a room in a hotel there.,I also found Yankees vs Blue Jays at Yankee Stadium on March 5th.,That works for me. I'd also like to find a room in a hotel there.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Sorry I was unable to make the appointment. Can I assist you with another task?,Try the reservation again. This time. Try it for 4:45 in the evening.,Sorry for missing the appointment. Can I help you with another task?,Please try rescheduling the appointment for 4:45 in the evening this time.,0.6835443037974683,0.5,0.6708203932499369,0.6835443037974683,0.3918918918918919,0.3157894736842105,0.48038446141526137,0.3918918918918919
What time works best for you?,See if they have any availability for 17:30.,What time works best for you?,See if they have any availability for 17:30.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"one moment, I found 3 flights that may work for you.I have Air France outbound flight leaving at 9:15 pm with 0 layovers. This ticket will cost $286.",Give me more options please.,"One moment, I found 3 flights that may work for you. I have Air France outbound flight leaving at 9:15 pm with 0 layovers. This ticket will cost $286.",Give me more options please.,0.9866666666666667,0.8387096774193549,0.9124211282466754,0.9866666666666667,1.0,1.0,1.0,1.0
The concert hall is at 201 Van Ness Avenue.,Ok great. Can you help me with a restaurant nearby?,The concert hall is at 201 Van Ness Avenue.,Ok great. Can you help me with a restaurant nearby?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Yes, no cost.","Nice, I want to purchase a ticket to the bus you mentioned earlier.","Yes, no cost.",Great! I'm excited to purchase a ticket for the bus you mentioned earlier.,1.0,1.0,1.0,1.0,0.7837837837837838,0.5294117647058824,0.6923076923076923,0.7837837837837838
Shall I purchase the tickets now?,No. Not at this time.,Shall I purchase the tickets now?,No. Not at this time.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
It will be $15 a ticket for that movie. The theater is at 549 Magnolia Avenue.,That sounds terrific. I'd also like to find a restaurant there. I'm thinking I want Italian food.,It will be $15 a ticket for that movie. The theater is at 549 Magnolia Avenue.,That sounds terrific. I'd also like to find a restaurant there. I'm thinking I want Italian food.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
The humidity will be 20 percent.,Okay. Please reserve one hotel room checking in on 3rd of March and checking out the 9th of March.,The humidity will be 20 percent.,Okay. Please reserve one hotel room checking in on 3rd of March and checking out the 9th of March.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Do you need more help?,I need to find a salon too.,Do you want to explore different styles or just looking for a traditional salon?,I need to find a salon too.,0.21250000000000002,0.11764705882352944,0.23904572186687867,0.21250000000000002,1.0,1.0,1.0,1.0
