id,system,user,intent,new_system,new_user,system_bf,user_bf,system_bert_bf,user_bert_bf,system_residual,user_residual
0,Please confirm Doctor appointment at 2400 Samaritan Drive #105 on March 9th at 5:15 pm.,Fantastic.,"Service name: Calendar_1
Active intent: AddEvent
Requested slots: 
Slot values: {}",Hello! How can I assist you today?,I would like to add an event to my calendar.,"[0.5, 0.6, 0.4, 0.7, 0.3]","[0.7, 0.5, 0.6, 0.8, 0.4]","[0.15056157112121582, 0.21557588875293732, 0.19894838333129883, 0.16186141967773438, 0.27305275201797485]","[0.16125255823135376, 0.21875692903995514, 0.20379222929477692, 0.16483323276042938, 0.2513650357723236]","[0.3494384288787842, 0.38442411124706266, 0.2010516166687012, 0.5381385803222656, 0.026947247982025135]","[0.5387474417686462, 0.28124307096004486, 0.39620777070522306, 0.6351667672395707, 0.1486349642276764]"
1,Do you want anything else?,Nope. That is all I need. Thank you.,"Service name: RentalCars_2
Active intent: 
Requested slots: 
Slot values: {}",Hello! How can I assist you with renting a car today?,Hi! I'm looking to rent a car for a weekend getaway. I'm excited to try out a new model I've never driven before!,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.8, 0.2, 0.6, 0.6, 0.1]","[0.14979641139507294, 0.22216756641864777, 0.2053571343421936, 0.15725179016590118, 0.2654270827770233]","[0.1599573940038681, 0.22548937797546387, 0.20662495493888855, 0.16211986541748047, 0.2458084374666214]","[-0.14979641139507294, -0.22216756641864777, -0.2053571343421936, -0.15725179016590118, -0.2654270827770233]","[0.6400426059961319, -0.025489377975463856, 0.39337504506111143, 0.4378801345825195, -0.1458084374666214]"
2,The venue starts at 5 pm at 100 California Drive,Thanks for the help thats what I need now.,"Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}",Welcome! How can I assist you with purchasing event tickets today?,Hi there! I'm interested in buying tickets for an upcoming event.,"[0.8, 0.6, 0.6, 0.75, 0.4]","[0.7, 0.4, 0.8, 0.7, 0.3]","[0.152122363448143, 0.2209862321615219, 0.19535884261131287, 0.1561897248029709, 0.2753428816795349]","[0.1440710425376892, 0.21905897557735443, 0.21197474002838135, 0.1510978490114212, 0.2737973630428314]","[0.647877636551857, 0.37901376783847807, 0.4046411573886871, 0.5938102751970291, 0.12465711832046511]","[0.5559289574623107, 0.1809410244226456, 0.5880252599716187, 0.5489021509885788, 0.026202636957168568]"
3,"The reservation has been a success, have fun!","Thanks so much, I don't need anything else right now.","Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}",Welcome! How can I assist you with purchasing event tickets?,"I'm looking to buy tickets for the upcoming concert, can you help me with that?","[0.8, 0.7, 0.6, 0.75, 0.5]","[0.7, 0.6, 0.8, 0.7, 0.4]","[0.15352937579154968, 0.22224408388137817, 0.19763235747814178, 0.15653738379478455, 0.27005675435066223]","[0.1507442146539688, 0.22564324736595154, 0.20778384804725647, 0.1576768010854721, 0.25815194845199585]","[0.6464706242084504, 0.4777559161186218, 0.4023676425218582, 0.5934626162052155, 0.22994324564933777]","[0.5492557853460311, 0.37435675263404844, 0.5922161519527436, 0.5423231989145278, 0.14184805154800417]"
4,Is there anything else I can do for you today?,"No, you've got it covered. Thank you again.","Service name: Services_3
Active intent: 
Requested slots: 
Slot values: {}",Hello! How can I assist you today?,I'm feeling a bit lost and unsure about my future career path.,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.3, 0.5, 0.2, 0.4, 0.6]","[0.15056157112121582, 0.21557588875293732, 0.19894838333129883, 0.16186141967773438, 0.27305275201797485]","[0.1536998301744461, 0.21573036909103394, 0.2020285725593567, 0.16909098625183105, 0.25945019721984863]","[-0.15056157112121582, -0.21557588875293732, -0.19894838333129883, -0.16186141967773438, -0.27305275201797485]","[0.14630016982555388, 0.28426963090896606, -0.0020285725593566784, 0.23090901374816897, 0.34054980278015134]"
5,Where are you visiting?,I am going to Vancouver.,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {'destination_city': 'Vancouver'}",Welcome to our flight booking service. How can I assist you today?,"I'm looking for a one-way flight to Vancouver, please.","[0.7, 0.6, 0.5, 0.8, 0.4]","[0.6, 0.7, 0.5, 0.8, 0.3]","[0.15647566318511963, 0.21878144145011902, 0.20600876212120056, 0.151746466755867, 0.2669876515865326]","[0.15701057016849518, 0.22926616668701172, 0.21014857292175293, 0.1577969193458557, 0.24577778577804565]","[0.5435243368148803, 0.38121855854988096, 0.29399123787879944, 0.648253533244133, 0.13301234841346743]","[0.4429894298315048, 0.47073383331298824, 0.28985142707824707, 0.6422030806541443, 0.054222214221954335]"
6,It arrives at 5:56 am.,When does the returning flight arrive? How many stops are there?,"Service name: Flights_2
Active intent: SearchRoundtripFlights
Requested slots: inbound_arrival_time, number_stops
Slot values: {}",Hello! How may I assist you today with your flight search?,I'm looking to book a roundtrip flight. I need to know the inbound arrival time and the number of stops for my journey.,"[0.8, 0.7, 0.6, 0.75, 0.65]","[0.75, 0.65, 0.7, 0.8, 0.6]","[0.1484414041042328, 0.2257387936115265, 0.20317064225673676, 0.15229324996471405, 0.2703559696674347]","[0.15200544893741608, 0.2122901976108551, 0.20995892584323883, 0.1664629429578781, 0.25928255915641785]","[0.6515585958957673, 0.47426120638847347, 0.3968293577432632, 0.597706750035286, 0.37964403033256533]","[0.5979945510625839, 0.4377098023891449, 0.4900410741567611, 0.6335370570421219, 0.34071744084358213]"
7,Check-out date will be on?,It will be great to be in 8th of March.,"Service name: Hotels_3
Active intent: ReserveHotel
Requested slots: 
Slot values: {'check_out_date': '8th of March'}",Welcome to our hotel reservation service. How can I assist you today?,I would like to make a reservation for a room from the 5th to the 8th of March.,"[0.8, 0.6, 0.4, 0.7, 0.3]","[0.6, 0.7, 0.5, 0.8, 0.4]","[0.15599298477172852, 0.21817916631698608, 0.20449018478393555, 0.154896542429924, 0.2664410471916199]","[0.15660037100315094, 0.21265222132205963, 0.21480926871299744, 0.15616421401500702, 0.25977396965026855]","[0.6440070152282715, 0.3818208336830139, 0.19550981521606448, 0.5451034575700759, 0.033558952808380116]","[0.44339962899684904, 0.4873477786779403, 0.28519073128700256, 0.643835785984993, 0.14022603034973147]"
8,Where will you be going?,"If all goes as planned, I'll be going to SF on the 10th of this month.","Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {'leaving_date': '10th of this month', 'to_location': 'SF'}",Welcome! How can I assist you today in finding a bus for your journey to SF on the 10th of this month?,Hello! I'm looking to travel to SF on the 10th of this month. Can you help me find a suitable bus?,"[1.0, 0.0, 0.5, 0.8, 0.2]","[0.8, 0.6, 0.7, 0.9, 0.4]","[0.14879226684570312, 0.21590229868888855, 0.21093519032001495, 0.15930378437042236, 0.2650664448738098]","[0.14871883392333984, 0.22412489354610443, 0.20742267370224, 0.15728484094142914, 0.2624486982822418]","[0.8512077331542969, -0.21590229868888855, 0.28906480967998505, 0.6406962156295777, -0.0650664448738098]","[0.6512811660766602, 0.37587510645389555, 0.49257732629775997, 0.7427151590585709, 0.1375513017177582]"
9,I've confirmed the tickets for you.,Great thank you.,"Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {}",Welcome! How can I assist you with purchasing a bus ticket today?,I'm looking to buy a bus ticket for a trip next week.,"[0.8, 0.7, 0.6, 0.65, 0.5]","[0.7, 0.6, 0.55, 0.7, 0.45]","[0.15360301733016968, 0.2141965925693512, 0.20332232117652893, 0.15619590878486633, 0.2726821303367615]","[0.15454739332199097, 0.21300646662712097, 0.21216128766536713, 0.1612081080675125, 0.25907668471336365]","[0.6463969826698304, 0.48580340743064876, 0.39667767882347105, 0.4938040912151337, 0.22731786966323853]","[0.545452606678009, 0.386993533372879, 0.3378387123346329, 0.5387918919324874, 0.19092331528663636]"
