output,input,instruction
"Service name: Calendar_1
Active intent: AddEvent
Requested slots: 
Slot values: {}","system: Please confirm Doctor appointment at 2400 Samaritan Drive #105 on March 9th at 5:15 pm.
user: Fantastic.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: RentalCars_2
Active intent: 
Requested slots: 
Slot values: {}","system: Do you want anything else?
user: Nope. That is all I need. Thank you.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}","system: The venue starts at 5 pm at 100 California Drive
user: Thanks for the help thats what I need now.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}","system: The reservation has been a success, have fun!
user: Thanks so much, I don't need anything else right now.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_3
Active intent: 
Requested slots: 
Slot values: {}","system: Is there anything else I can do for you today?
user: No, you've got it covered. Thank you again.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {'destination_city': 'Vancouver'}","system: Where are you visiting?
user: I am going to Vancouver.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_2
Active intent: SearchRoundtripFlights
Requested slots: inbound_arrival_time, number_stops
Slot values: {}","system: It arrives at 5:56 am.
user: When does the returning flight arrive? How many stops are there?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_3
Active intent: ReserveHotel
Requested slots: 
Slot values: {'check_out_date': '8th of March'}","system: Check-out date will be on?
user: It will be great to be in 8th of March.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {'leaving_date': '10th of this month', 'to_location': 'SF'}","system: Where will you be going?
user: If all goes as planned, I'll be going to SF on the 10th of this month.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {}","system: I've confirmed the tickets for you.
user: Great thank you.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_1
Active intent: FindEvents
Requested slots: 
Slot values: {'category': 'Music', 'city_of_event': 'Philadelphia'}","system: In which city? What kind of event do you like? Like Music or Sports or anything else?
user: I'd love a Music event here in Philadelphia.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'pets_welcome': 'True', 'location': '[CLS]'}","system: Great, I was able to reserve your ticket.
user: Alright, now i'm going to need to search for a hotel that takes pets.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {'rating': '4 . 5'}","system: The house at 1000 1st Avenue is among 10 houses that you may like. It has a rating of 4.5.
user: I'd like to consider other houses with a 4.5 rating, or even higher.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {'dropoff_date': 'March 5th'}","system: Yes, I can do that. Until what date will you need this car?
user: I need a car that will be available through March 5th.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: RideSharing_2
Active intent: GetRide
Requested slots: 
Slot values: {}","system: The cab should be here in 3 minutes.
user: Thank you for your help.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: 
Requested slots: 
Slot values: {}","system: No problem. Can I help you with anything else?
user: No, not right now. Thanks again!","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'leaving_time': '7 : 40 am'}","system: I found 7 buses. One costs $70 and departs at 7:40 am with 1 transfer.
user: Great. Please reserve it.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'leaving_time': '6 : 40 am'}","system: Sorry, I couldn't book the tickets. How about a bus departing at 6:40 am for $11 per person?
user: Yeah, that's okay.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: 
Slot values: {}","system: I've successfully booked your tickets.
user: Thanks so much for everything. Can you also look for two hotel rooms at the destination?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {'where_to': '[CLS]'}","system: Kingsford Smith International Airport. It arrives at 1:06 pm
user: Ok, It's good for me. I need a house to stay there","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'return_date': '11th of this month'}","system: When will you be back?
user: I'll be back on the 11th of this month.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Buses_1
Active intent: 
Requested slots: 
Slot values: {}","system: Would you like me to book the tickets for you?
user: No, Don't book the tickets now. Can you get back to reserving 3 rooms in the hotel you found?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Weather_1
Active intent: GetWeather
Requested slots: 
Slot values: {}","system: Right now it's 102 degrees Fahrenheit with a 0 percent change of raining.
user: It sounds delightful, I need to get a cab.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {}","system: $140 in full
user: anything rlse there?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'category': 'dontcare', 'location': '[CLS]'}","system: The average temperature for the day should be around 70 degrees Fahrenheit. There is 38 percent chance for rain.
user: Yeah, sure. Can you help me to find any kind of attraction that would be cool there?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Events_1
Active intent: BuyEventTickets
Requested slots: 
Slot values: {'number_of_seats': '1'}","system: Confirming that you want 4 tickets to Amber Run Brooklyn taking place in New York on March 11th?
user: No. Just one ticket.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'fare_type': 'Economy', 'group_size': '2', 'departure_time': '[CLS]'}","system: You will leave from Union Plaza and arrive at Salesforce Transit Center.
user: Great. I would like to purchase 2 bus tickets.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'number_of_rooms': '3', 'location': 'Paris , France'}","system: The address is 100 Shoreditch High Street and phone number is +44 20 7613 9800.
user: Is anything else available? I need hotels around Paris, France. I need three rooms.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Movies_1
Active intent: FindMovies
Requested slots: 
Slot values: {'genre': 'funny', 'theater_name': 'AMC Metreon'}","system: Okay. The car is reserved.
user: Okay, great. While I have the car, I want to check out a funny movie at AMC Metreon.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: RideSharing_1
Active intent: GetRide
Requested slots: 
Slot values: {}","system: please confirm your shared ride for 3 people going to 140 new montgomery street #1
user: yes please","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {}","system: 
user: Please help me find one-way flights.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {}","system: There are 10 houses in the area. Do you want a hotel of 4.3 rating located at 12, doctor apj abdul kalam road, new delhi
user: Perfect, thats all i need","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Services_3
Active intent: FindProvider
Requested slots: 
Slot values: {'type': 'Ophthalmologist'}","system: Will you be looking for a dermatologist, ophthalmologist or something else?
user: I need an ophthalmologist.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Media_1
Active intent: 
Requested slots: 
Slot values: {}","system: Do you wish to play the movie?
user: Nope. I am not interested in doing it.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: RentalCars_2
Active intent: GetCarsAvailable
Requested slots: total_price
Slot values: {}","system: I found a Compact Chevrolet Bolt car for pick up on March 4th from John Wayne Airport.
user: Can you find me it's total cost?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Media_1
Active intent: PlayMovie
Requested slots: 
Slot values: {'subtitles': 'True'}","system: Please confirm the following: Play Breakthrough with no subtitles.
user: No, I want subtitles.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'party_size': '2', 'time': 'eleven in the morning'}","system: What time do you want to eat?
user: Book a table for 2 at eleven in the morning.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'passengers': '4', 'destination_city': '[CLS]', 'origin_city': '[CLS]'}","system: Would you like my help with anything else?
user: Could you also check for a round-trip flight going there?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: ReserveRoundtripFlights
Requested slots: 
Slot values: {}","system: 
user: I need tickets for a short flight i need to get.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Homes_1
Active intent: 
Requested slots: 
Slot values: {}","system: Sorry, I wasn't able to schedule a visit. Is there anything else you need?
user: No, that would be all.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Media_1
Active intent: 
Requested slots: 
Slot values: {}","system: Is there anything else I can help you with?
user: No. That will be all. Thank you!","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Media_1
Active intent: FindMovies
Requested slots: 
Slot values: {'title': 'The Innocent'}","system: Do you prefer The Innocent?
user: Innocent is good!","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Buses_2
Active intent: FindBus
Requested slots: 
Slot values: {'fare_type': 'Economy extra'}","system: 
user: Would you help me find a bus trip? I prefer Economy extra tickets.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Flights_1
Active intent: ReserveRoundtripFlights
Requested slots: 
Slot values: {}","system: Your ticket has been successfully confirmed.
user: Awesome, thanks for your help.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Banks_1
Active intent: CheckBalance
Requested slots: 
Slot values: {'account_type': 'checking'}","system: Savings or checking?
user: Checking account.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Music_1
Active intent: LookupSong
Requested slots: year
Slot values: {}","system: There is 1 song called Love Me Like You by Little Mix from the album Get Weird.
user: What year the song is from?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Music_2
Active intent: PlayMedia
Requested slots: 
Slot values: {'playback_device': 'bedroom speaker'}","system: Sure, please confirm: play Paris on kitchen speaker. Does this sound right?
user: No wait. play this on speaker in the bedroom please.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {}","system: 
user: I'm planning on going on a short trip with friends. Can you find me a bus?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: Media_1
Active intent: 
Requested slots: 
Slot values: {}","system: Play it now?
user: No, not yet.","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
"Service name: RentalCars_1
Active intent: ReserveCar
Requested slots: total_price
Slot values: {}","system: Confirming a standard vehicle rental on March 11th for a 12:30 PM pick up from SFO International Airport and a return on March 14th.
user: Great. How much is that?","For the following dialogue extract the current state (i.e. Service name, Active intent, Requested slots, and Slot values):"
