id,system,user,intent,new_system,new_user,system_bf,user_bf
0,Please confirm Doctor appointment at 2400 Samaritan Drive #105 on March 9th at 5:15 pm.,Fantastic.,"Service name: Calendar_1
Active intent: AddEvent
Requested slots: 
Slot values: {}",Please confirm Doctor appointment at 2400 Samaritan Drive #105 on March 9th at 5:15 pm.,That's wonderful news! I am delighted to confirm the doctor's appointment at 2400 Samaritan Drive #105 on March 9th at 5:15 pm.,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.75, 0.9, 0.6, 0.8, 0.2]"
1,Do you want anything else?,Nope. That is all I need. Thank you.,"Service name: RentalCars_2
Active intent: 
Requested slots: 
Slot values: {}",Do you want anything else?,Nope. That is all I need. Thank you.,"[0.5, 0.7, 0.3, 0.6, 0.4]","[0.4, 0.6, 0.4, 0.7, 0.5]"
2,The venue starts at 5 pm at 100 California Drive,Thanks for the help thats what I need now.,"Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}",The venue starts at 5 pm at 100 California Drive.,"Thank you so much for your assistance, that's exactly what I needed.","[0.4, 0.8, 0.2, 0.6, 0.3]","[0.8, 0.6, 0.4, 0.8, 0.2]"
3,"The reservation has been a success, have fun!","Thanks so much, I don't need anything else right now.","Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}","The reservation has been a success, have fun!","Thanks so much, I don't need anything else right now.","[0.75, 0.9, 0.65, 0.8, 0.4]","[0.4, 0.6, 0.45, 0.75, 0.3]"
4,Is there anything else I can do for you today?,"No, you've got it covered. Thank you again.","Service name: Services_3
Active intent: 
Requested slots: 
Slot values: {}",Is there anything else I can do for you today?,"No, you've got it covered. Thank you again.","[0.75, 0.9, 0.25, 0.8, 0.15]","[0.6, 0.7, 0.45, 0.7, 0.35]"
5,Where are you visiting?,I am going to Vancouver.,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {'destination_city': 'Vancouver'}",Where are you visiting?,I am going to Vancouver.,"[0.5, 0.8, 0.3, 0.6, 0.2]","[0.6, 0.4, 0.5, 0.7, 0.3]"
6,It arrives at 5:56 am.,When does the returning flight arrive? How many stops are there?,"Service name: Flights_2
Active intent: SearchRoundtripFlights
Requested slots: inbound_arrival_time, number_stops
Slot values: {}",It arrives at 5:56 am.,When will the return flight land? Can you tell me the number of layovers it has?,"[0.4, 0.8, 0.2, 0.6, 0.3]","[0.7, 0.6, 0.5, 0.8, 0.2]"
7,Check-out date will be on?,It will be great to be in 8th of March.,"Service name: Hotels_3
Active intent: ReserveHotel
Requested slots: 
Slot values: {'check_out_date': '8th of March'}",Check-out date will be on?,It will be great to be in 8th of March.,"[0.5, 0.7, 0.2, 0.4, 0.3]","[0.8, 0.4, 0.6, 0.7, 0.2]"
8,Where will you be going?,"If all goes as planned, I'll be going to SF on the 10th of this month.","Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {'leaving_date': '10th of this month', 'to_location': 'SF'}",Where will you be going?,"If all goes as planned, I'll be heading to San Francisco on the 10th of this month.","[0.5, 0.8, 0.2, 0.6, 0.4]","[0.8, 0.6, 0.4, 0.7, 0.2]"
9,I've confirmed the tickets for you.,Great thank you.,"Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {}",I've confirmed the tickets for you.,Great thank you.,"[0.8, 0.7, 0.4, 0.6, 0.3]","[0.6, 0.4, 0.5, 0.8, 0.2]"
10,In which city? What kind of event do you like? Like Music or Sports or anything else?,I'd love a Music event here in Philadelphia.,"Service name: Events_1
Active intent: FindEvents
Requested slots: 
Slot values: {'category': 'Music', 'city_of_event': 'Philadelphia'}",In which city? What kind of event do you like? Like Music or Sports or anything else?,I'd love a Music event here in Philadelphia.,"[0.5, 0.5, 0.5, 0.5, 0.5]","[0.8, 0.4, 0.6, 0.7, 0.3]"
11,"Great, I was able to reserve your ticket.","Alright, now i'm going to need to search for a hotel that takes pets.","Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'pets_welcome': 'True', 'location': '[CLS]'}","Great, I was able to reserve your ticket.","Alright, now I'm going to need to search for a hotel that takes pets.","[0.5, 0.7, 0.4, 0.6, 0.3]","[0.6, 0.4, 0.5, 0.7, 0.2]"
12,The house at 1000 1st Avenue is among 10 houses that you may like. It has a rating of 4.5.,"I'd like to consider other houses with a 4.5 rating, or even higher.","Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {'rating': '4 . 5'}",The house at 1000 1st Avenue is among 10 houses that you may like. It has a rating of 4.5.,"I'd like to consider other houses with a 4.5 rating, or even higher.","[0.4, 0.6, 0.2, 0.6, 0.8]","[0.6, 0.4, 0.8, 0.4, 0.2]"
13,"Yes, I can do that. Until what date will you need this car?",I need a car that will be available through March 5th.,"Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {'dropoff_date': 'March 5th'}","Yes, I can do that. Until what date will you need this car?",I need a car that will be available through March 5th.,"[0.5, 0.8, 0.3, 0.6, 0.4]","[0.7, 0.6, 0.4, 0.7, 0.2]"
