id,system,user,intent,new_system,new_user,system_bf,user_bf
0,Please confirm Doctor appointment at 2400 Samaritan Drive #105 on March 9th at 5:15 pm.,Fantastic.,"Service name: Calendar_1
Active intent: AddEvent
Requested slots: 
Slot values: {}",Hello! How can I assist you today?,I would like to add an event to my calendar.,"[0.5, 0.6, 0.4, 0.7, 0.3]","[0.7, 0.5, 0.6, 0.8, 0.4]"
1,Do you want anything else?,Nope. That is all I need. Thank you.,"Service name: RentalCars_2
Active intent: 
Requested slots: 
Slot values: {}",Hello! How can I assist you with renting a car today?,Hi! I'm looking to rent a car for a weekend getaway. I'm excited to try out a new model I've never driven before!,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.8, 0.2, 0.6, 0.6, 0.1]"
2,The venue starts at 5 pm at 100 California Drive,Thanks for the help thats what I need now.,"Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}",Welcome! How can I assist you with purchasing event tickets today?,Hi there! I'm interested in buying tickets for an upcoming event.,"[0.8, 0.6, 0.6, 0.75, 0.4]","[0.7, 0.4, 0.8, 0.7, 0.3]"
3,"The reservation has been a success, have fun!","Thanks so much, I don't need anything else right now.","Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}",Welcome! How can I assist you with purchasing event tickets?,"I'm looking to buy tickets for the upcoming concert, can you help me with that?","[0.8, 0.7, 0.6, 0.75, 0.5]","[0.7, 0.6, 0.8, 0.7, 0.4]"
4,Is there anything else I can do for you today?,"No, you've got it covered. Thank you again.","Service name: Services_3
Active intent: 
Requested slots: 
Slot values: {}",Hello! How can I assist you today?,I'm feeling a bit lost and unsure about my future career path.,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.3, 0.5, 0.2, 0.4, 0.6]"
5,Where are you visiting?,I am going to Vancouver.,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {'destination_city': 'Vancouver'}",Welcome to our flight booking service. How can I assist you today?,"I'm looking for a one-way flight to Vancouver, please.","[0.7, 0.6, 0.5, 0.8, 0.4]","[0.6, 0.7, 0.5, 0.8, 0.3]"
6,It arrives at 5:56 am.,When does the returning flight arrive? How many stops are there?,"Service name: Flights_2
Active intent: SearchRoundtripFlights
Requested slots: inbound_arrival_time, number_stops
Slot values: {}",Hello! How may I assist you today with your flight search?,I'm looking to book a roundtrip flight. I need to know the inbound arrival time and the number of stops for my journey.,"[0.8, 0.7, 0.6, 0.75, 0.65]","[0.75, 0.65, 0.7, 0.8, 0.6]"
7,Check-out date will be on?,It will be great to be in 8th of March.,"Service name: Hotels_3
Active intent: ReserveHotel
Requested slots: 
Slot values: {'check_out_date': '8th of March'}",Welcome to our hotel reservation service. How can I assist you today?,I would like to make a reservation for a room from the 5th to the 8th of March.,"[0.8, 0.6, 0.4, 0.7, 0.3]","[0.6, 0.7, 0.5, 0.8, 0.4]"
8,Where will you be going?,"If all goes as planned, I'll be going to SF on the 10th of this month.","Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {'leaving_date': '10th of this month', 'to_location': 'SF'}",Welcome! How can I assist you today in finding a bus for your journey to SF on the 10th of this month?,Hello! I'm looking to travel to SF on the 10th of this month. Can you help me find a suitable bus?,"[1.0, 0.0, 0.5, 0.8, 0.2]","[0.8, 0.6, 0.7, 0.9, 0.4]"
9,I've confirmed the tickets for you.,Great thank you.,"Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {}",Welcome! How can I assist you with purchasing a bus ticket today?,I'm looking to buy a bus ticket for a trip next week.,"[0.8, 0.7, 0.6, 0.65, 0.5]","[0.7, 0.6, 0.55, 0.7, 0.45]"
10,In which city? What kind of event do you like? Like Music or Sports or anything else?,I'd love a Music event here in Philadelphia.,"Service name: Events_1
Active intent: FindEvents
Requested slots: 
Slot values: {'category': 'Music', 'city_of_event': 'Philadelphia'}",Hello! How can I assist you today in finding music events in Philadelphia?,Hi there! I'm interested in attending some music events in Philadelphia. Can you help me find some?,"[0.8, 0.7, 0.65, 0.85, 0.5]","[0.75, 0.6, 0.7, 0.8, 0.4]"
11,"Great, I was able to reserve your ticket.","Alright, now i'm going to need to search for a hotel that takes pets.","Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'pets_welcome': 'True', 'location': '[CLS]'}",Welcome! How can I assist you today in finding a pet-friendly hotel in your desired location?,"I'm looking for a hotel that welcomes pets, and I'd like it to be located in a central area.","[0.8, 0.7, 0.6, 0.75, 0.55]","[0.75, 0.65, 0.7, 0.8, 0.45]"
12,The house at 1000 1st Avenue is among 10 houses that you may like. It has a rating of 4.5.,"I'd like to consider other houses with a 4.5 rating, or even higher.","Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {'rating': '4 . 5'}",Hello! How can I assist you today with your search for accommodation?,I'm looking for a hotel with a rating of 4.5. Can you help me find one?,"[0.5, 0.6, 0.7, 0.8, 0.4]","[0.7, 0.6, 0.6, 0.8, 0.3]"
13,"Yes, I can do that. Until what date will you need this car?",I need a car that will be available through March 5th.,"Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {'dropoff_date': 'March 5th'}",Hello! How can I assist you with finding available rental cars for March 5th?,Hi there! I'm looking to rent a car for March 5th. Can you help me with that?,"[0.4, 0.6, 0.6, 0.8, 0.2]","[0.6, 0.4, 0.4, 0.2, 0.8]"
14,The cab should be here in 3 minutes.,Thank you for your help.,"Service name: RideSharing_2
Active intent: GetRide
Requested slots: 
Slot values: {}",Welcome to our RideSharing service! How can I assist you today?,I need a ride to the airport. Can you help me with that?,"[0.8, 0.7, 0.6, 0.75, 0.4]","[0.7, 0.6, 0.5, 0.8, 0.3]"
15,No problem. Can I help you with anything else?,"No, not right now. Thanks again!","Service name: Flights_1
Active intent: 
Requested slots: 
Slot values: {}",Welcome to our flight booking service! How can I assist you today?,I'm looking for a flight to Paris for my upcoming vacation.,"[0.8, 0.7, 0.6, 0.7, 0.4]","[0.7, 0.6, 0.6, 0.8, 0.5]"
16,I found 7 buses. One costs $70 and departs at 7:40 am with 1 transfer.,Great. Please reserve it.,"Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'leaving_time': '7 : 40 am'}",Welcome! How may I assist you today with purchasing a bus ticket for your journey?,"I would like to purchase a bus ticket for tomorrow at 7:40 am, please.","[0.8, 0.9, 0.7, 0.85, 0.6]","[0.75, 0.8, 0.65, 0.8, 0.7]"
17,"Sorry, I couldn't book the tickets. How about a bus departing at 6:40 am for $11 per person?","Yeah, that's okay.","Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'leaving_time': '6 : 40 am'}",Welcome! How may I assist you in purchasing a bus ticket for 6:40 am?,I need to buy a bus ticket for 6:40 am.,"[0.8, 0.7, 0.6, 0.85, 0.4]","[0.7, 0.65, 0.5, 0.8, 0.45]"
18,I've successfully booked your tickets.,Thanks so much for everything. Can you also look for two hotel rooms at the destination?,"Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: 
Slot values: {}",Hello! How can I assist you today in purchasing a bus ticket?,I'm looking to buy a bus ticket for a trip next week. Can you help me with that?,"[0.8, 0.7, 0.6, 0.65, 0.5]","[0.75, 0.6, 0.7, 0.8, 0.45]"
19,Kingsford Smith International Airport. It arrives at 1:06 pm,"Ok, It's good for me. I need a house to stay there","Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {'where_to': '[CLS]'}",Welcome! How can I assist you today in finding the perfect house?,I'm looking for a cozy house to rent in a peaceful neighborhood.,"[0.6, 0.7, 0.5, 0.8, 0.4]","[0.7, 0.6, 0.4, 0.8, 0.3]"
20,When will you be back?,I'll be back on the 11th of this month.,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'return_date': '11th of this month'}",Hello! How can I assist you today with your flight search?,I'm looking for roundtrip flights with a return date on the 11th of this month.,"[0.8, 0.7, 0.6, 0.75, 0.5]","[0.85, 0.65, 0.7, 0.8, 0.4]"
21,Would you like me to book the tickets for you?,"No, Don't book the tickets now. Can you get back to reserving 3 rooms in the hotel you found?","Service name: Buses_1
Active intent: 
Requested slots: 
Slot values: {}",Welcome! How can I assist you today with bus services?,"Hello, I'm looking to find out the bus schedule for Route 10, please.","[0.75, 0.6, 0.5, 0.8, 0.4]","[0.7, 0.65, 0.55, 0.75, 0.35]"
22,Right now it's 102 degrees Fahrenheit with a 0 percent change of raining.,"It sounds delightful, I need to get a cab.","Service name: Weather_1
Active intent: GetWeather
Requested slots: 
Slot values: {}",Hello! How can I help you today?,I was wondering if you could tell me the weather forecast for tomorrow?,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.6, 0.3, 0.7, 0.2]"
23,$140 in full,anything rlse there?,"Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {}",Welcome to our rental car service. How can I assist you today?,I'm interested in renting a car for the weekend. Can you tell me what options are available?,"[0.8, 0.6, 0.6, 0.8, 0.4]","[0.6, 0.4, 0.6, 0.8, 0.6]"
24,The average temperature for the day should be around 70 degrees Fahrenheit. There is 38 percent chance for rain.,"Yeah, sure. Can you help me to find any kind of attraction that would be cool there?","Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'category': 'dontcare', 'location': '[CLS]'}",Hello! How can I assist you with finding attractions in your chosen location?,"Hi there! I'm looking for some interesting places to visit, but I'm open to any category and location.","[0.7, 0.6, 0.8, 0.65, 0.5]","[0.75, 0.4, 0.85, 0.7, 0.3]"
25,Confirming that you want 4 tickets to Amber Run Brooklyn taking place in New York on March 11th?,No. Just one ticket.,"Service name: Events_1
Active intent: BuyEventTickets
Requested slots: 
Slot values: {'number_of_seats': '1'}",Welcome! How can I assist you with buying event tickets today?,Hi there! I'm interested in purchasing a ticket for one person.,"[0.5, 0.8, 0.6, 0.7, 0.3]","[0.7, 0.6, 0.8, 0.6, 0.4]"
26,You will leave from Union Plaza and arrive at Salesforce Transit Center.,Great. I would like to purchase 2 bus tickets.,"Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'fare_type': 'Economy', 'group_size': '2', 'departure_time': '[CLS]'}",Welcome! How may I assist you with purchasing bus tickets today?,I would like to buy two economy tickets for the next bus departure.,"[0.8, 0.75, 0.7, 0.85, 0.65]","[0.6, 0.7, 0.5, 0.8, 0.4]"
