system,user,new_system,new_user,lev_sys,jac_sys,cos_sys,dam_sys,lev_user,jac_user,cos_user,dam_user
Please confirm Doctor appointment at 2400 Samaritan Drive #105 on March 9th at 5:15 pm.,Fantastic.,Hello! How can I assist you today?,I would like to add an event to my calendar.,0.1724137931034483,0.0,0.0,0.1839080459770115,0.11363636363636365,0.0,0.0,0.11363636363636365
Do you want anything else?,Nope. That is all I need. Thank you.,Hello! How can I assist you with renting a car today?,Hi! I'm looking to rent a car for a weekend getaway. I'm excited to try out a new model I've never driven before!,0.30188679245283023,0.06666666666666665,0.13483997249264845,0.30188679245283023,0.15929203539823011,0.0,0.0,0.15929203539823011
The venue starts at 5 pm at 100 California Drive,Thanks for the help thats what I need now.,Welcome! How can I assist you with purchasing event tickets today?,Hi there! I'm interested in buying tickets for an upcoming event.,0.19696969696969702,0.0,0.0,0.19696969696969702,0.24615384615384617,0.05263157894736836,0.10050378152592121,0.24615384615384617
"The reservation has been a success, have fun!","Thanks so much, I don't need anything else right now.",Welcome! How can I assist you with purchasing event tickets?,"I'm looking to buy tickets for the upcoming concert, can you help me with that?",0.21666666666666667,0.0,0.0,0.21666666666666667,0.26582278481012656,0.0,0.0,0.2784810126582279
Is there anything else I can do for you today?,"No, you've got it covered. Thank you again.",Hello! How can I assist you today?,I'm feeling a bit lost and unsure about my future career path.,0.3695652173913043,0.3076923076923077,0.47809144373375745,0.3695652173913043,0.24193548387096775,0.0,0.0,0.24193548387096775
Where are you visiting?,I am going to Vancouver.,Welcome to our flight booking service. How can I assist you today?,"I'm looking for a one-way flight to Vancouver, please.",0.19696969696969702,0.06666666666666665,0.14433756729740643,0.19696969696969702,0.37037037037037035,0.07692307692307687,0.14907119849998596,0.37037037037037035
It arrives at 5:56 am.,When does the returning flight arrive? How many stops are there?,Hello! How may I assist you today with your flight search?,I'm looking to book a roundtrip flight. I need to know the inbound arrival time and the number of stops for my journey.,0.15517241379310343,0.0,0.0,0.15517241379310343,0.2773109243697479,0.0625,0.1257389226923863,0.2773109243697479
Check-out date will be on?,It will be great to be in 8th of March.,Welcome to our hotel reservation service. How can I assist you today?,I would like to make a reservation for a room from the 5th to the 8th of March.,0.21739130434782605,0.0,0.0,0.21739130434782605,0.379746835443038,0.16666666666666663,0.2981423969999719,0.379746835443038
Where will you be going?,"If all goes as planned, I'll be going to SF on the 10th of this month.",Welcome! How can I assist you today in finding a bus for your journey to SF on the 10th of this month?,Hello! I'm looking to travel to SF on the 10th of this month. Can you help me find a suitable bus?,0.16666666666666663,0.038461538461538436,0.09534625892455928,0.16666666666666663,0.3163265306122449,0.27586206896551724,0.4364357804719847,0.3163265306122449
I've confirmed the tickets for you.,Great thank you.,Welcome! How can I assist you with purchasing a bus ticket today?,I'm looking to buy a bus ticket for a trip next week.,0.23076923076923073,0.0,0.0,0.23076923076923073,0.13207547169811318,0.0,0.0,0.13207547169811318
