id,system,user,intent,new_system,new_user,system_bf,user_bf,system_bert_bf,user_bert_bf,system_residual,user_residual
0,Please confirm Doctor appointment at 2400 Samaritan Drive #105 on March 9th at 5:15 pm.,Fantastic.,"Service name: Calendar_1
Active intent: AddEvent
Requested slots: 
Slot values: {}",Please confirm Doctor appointment at 2400 Samaritan Drive #105 on March 9th at 5:15 pm.,That's wonderful news! I am delighted to confirm the doctor's appointment at 2400 Samaritan Drive #105 on March 9th at 5:15 pm.,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.75, 0.9, 0.6, 0.8, 0.2]","[0.15186144411563873, 0.24587854743003845, 0.1902579516172409, 0.18069371581077576, 0.23130826652050018]","[0.14649859070777893, 0.24895623326301575, 0.20192252099514008, 0.1813896894454956, 0.22123292088508606]","[-0.15186144411563873, -0.24587854743003845, -0.1902579516172409, -0.18069371581077576, -0.23130826652050018]","[0.6035014092922211, 0.6510437667369843, 0.3980774790048599, 0.6186103105545044, -0.02123292088508605]"
1,Do you want anything else?,Nope. That is all I need. Thank you.,"Service name: RentalCars_2
Active intent: 
Requested slots: 
Slot values: {}",Do you want anything else?,Nope. That is all I need. Thank you.,"[0.5, 0.7, 0.3, 0.6, 0.4]","[0.4, 0.6, 0.4, 0.7, 0.5]","[0.16662126779556274, 0.23839901387691498, 0.19015173614025116, 0.18271270394325256, 0.22211523354053497]","[0.16880817711353302, 0.24753491580486298, 0.18622952699661255, 0.17457367479801178, 0.22285370528697968]","[0.33337873220443726, 0.461600986123085, 0.10984826385974883, 0.4172872960567474, 0.17788476645946505]","[0.231191822886467, 0.352465084195137, 0.21377047300338747, 0.5254263252019882, 0.2771462947130203]"
2,The venue starts at 5 pm at 100 California Drive,Thanks for the help thats what I need now.,"Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}",The venue starts at 5 pm at 100 California Drive.,"Thank you so much for your assistance, that's exactly what I needed.","[0.4, 0.8, 0.2, 0.6, 0.3]","[0.8, 0.6, 0.4, 0.8, 0.2]","[0.15422199666500092, 0.24182401597499847, 0.1885869801044464, 0.18565857410430908, 0.2297084480524063]","[0.1607753187417984, 0.25047028064727783, 0.19194740056991577, 0.18924348056316376, 0.20756356418132782]","[0.2457780033349991, 0.5581759840250016, 0.0114130198955536, 0.4143414258956909, 0.07029155194759368]","[0.6392246812582016, 0.34952971935272215, 0.20805259943008425, 0.6107565194368363, -0.007563564181327809]"
3,"The reservation has been a success, have fun!","Thanks so much, I don't need anything else right now.","Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}","The reservation has been a success, have fun!","Thanks so much, I don't need anything else right now.","[0.75, 0.9, 0.65, 0.8, 0.4]","[0.4, 0.6, 0.45, 0.75, 0.3]","[0.15535379946231842, 0.23492281138896942, 0.21429288387298584, 0.18251928687095642, 0.2129112035036087]","[0.15629135072231293, 0.24373355507850647, 0.1886574774980545, 0.1853119432926178, 0.22600559890270233]","[0.5946462005376816, 0.6650771886110306, 0.4357071161270142, 0.6174807131290436, 0.18708879649639132]","[0.2437086492776871, 0.3562664449214935, 0.2613425225019455, 0.5646880567073822, 0.07399440109729766]"
4,Is there anything else I can do for you today?,"No, you've got it covered. Thank you again.","Service name: Services_3
Active intent: 
Requested slots: 
Slot values: {}",Is there anything else I can do for you today?,"No, you've got it covered. Thank you again.","[0.75, 0.9, 0.25, 0.8, 0.15]","[0.6, 0.7, 0.45, 0.7, 0.35]","[0.1601184457540512, 0.23637579381465912, 0.2024688422679901, 0.18356133997440338, 0.2174755483865738]","[0.16033415496349335, 0.24651199579238892, 0.19721585512161255, 0.18345865607261658, 0.21247929334640503]","[0.5898815542459488, 0.6636242061853409, 0.04753115773200989, 0.6164386600255967, -0.0674755483865738]","[0.43966584503650663, 0.45348800420761104, 0.25278414487838746, 0.5165413439273834, 0.13752070665359495]"
5,Where are you visiting?,I am going to Vancouver.,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {'destination_city': 'Vancouver'}",Where are you visiting?,I am going to Vancouver.,"[0.5, 0.8, 0.3, 0.6, 0.2]","[0.6, 0.4, 0.5, 0.7, 0.3]","[0.16411417722702026, 0.24746878445148468, 0.18539369106292725, 0.16269588470458984, 0.2403274029493332]","[0.16699545085430145, 0.24422042071819305, 0.18765436112880707, 0.18171903491020203, 0.2194107621908188]","[0.33588582277297974, 0.5525312155485154, 0.11460630893707274, 0.43730411529541013, -0.04032740294933318]","[0.4330045491456985, 0.15577957928180697, 0.31234563887119293, 0.5182809650897979, 0.0805892378091812]"
6,It arrives at 5:56 am.,When does the returning flight arrive? How many stops are there?,"Service name: Flights_2
Active intent: SearchRoundtripFlights
Requested slots: inbound_arrival_time, number_stops
Slot values: {}",It arrives at 5:56 am.,When will the return flight land? Can you tell me the number of layovers it has?,"[0.4, 0.8, 0.2, 0.6, 0.3]","[0.7, 0.6, 0.5, 0.8, 0.2]","[0.15890415012836456, 0.24577870965003967, 0.1901661455631256, 0.17796754837036133, 0.227183535695076]","[0.16080781817436218, 0.24273857474327087, 0.18031886219978333, 0.18520061671733856, 0.23093414306640625]","[0.24109584987163546, 0.5542212903499604, 0.0098338544368744, 0.42203245162963865, 0.072816464304924]","[0.5391921818256378, 0.3572614252567291, 0.3196811378002167, 0.6147993832826615, -0.03093414306640624]"
7,Check-out date will be on?,It will be great to be in 8th of March.,"Service name: Hotels_3
Active intent: ReserveHotel
Requested slots: 
Slot values: {'check_out_date': '8th of March'}",Check-out date will be on?,It will be great to be in 8th of March.,"[0.5, 0.7, 0.2, 0.4, 0.3]","[0.8, 0.4, 0.6, 0.7, 0.2]","[0.15611547231674194, 0.221448615193367, 0.20350000262260437, 0.18490256369113922, 0.23403337597846985]","[0.17468255758285522, 0.23520372807979584, 0.18609240651130676, 0.17483964562416077, 0.22918163239955902]","[0.34388452768325806, 0.47855138480663295, -0.003500002622604359, 0.2150974363088608, 0.06596662402153014]","[0.6253174424171448, 0.16479627192020418, 0.4139075934886932, 0.5251603543758392, -0.02918163239955901]"
8,Where will you be going?,"If all goes as planned, I'll be going to SF on the 10th of this month.","Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {'leaving_date': '10th of this month', 'to_location': 'SF'}",Where will you be going?,"If all goes as planned, I'll be heading to San Francisco on the 10th of this month.","[0.5, 0.8, 0.2, 0.6, 0.4]","[0.8, 0.6, 0.4, 0.7, 0.2]","[0.15618860721588135, 0.24899137020111084, 0.1840691715478897, 0.17771853506565094, 0.23303230106830597]","[0.15982268750667572, 0.24379569292068481, 0.18911923468112946, 0.18775446712970734, 0.21950781345367432]","[0.34381139278411865, 0.5510086297988892, 0.0159308284521103, 0.42228146493434904, 0.16696769893169405]","[0.6401773124933243, 0.35620430707931516, 0.21088076531887057, 0.5122455328702926, -0.019507813453674305]"
9,I've confirmed the tickets for you.,Great thank you.,"Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {}",I've confirmed the tickets for you.,Great thank you.,"[0.8, 0.7, 0.4, 0.6, 0.3]","[0.6, 0.4, 0.5, 0.8, 0.2]","[0.17313145101070404, 0.23312200605869293, 0.19416971504688263, 0.17851755023002625, 0.22105932235717773]","[0.16254518926143646, 0.22852873802185059, 0.2067164033651352, 0.1852397620677948, 0.21696990728378296]","[0.626868548989296, 0.466877993941307, 0.2058302849531174, 0.42148244976997373, 0.07894067764282225]","[0.4374548107385635, 0.17147126197814944, 0.2932835966348648, 0.6147602379322052, -0.016969907283782948]"
10,In which city? What kind of event do you like? Like Music or Sports or anything else?,I'd love a Music event here in Philadelphia.,"Service name: Events_1
Active intent: FindEvents
Requested slots: 
Slot values: {'category': 'Music', 'city_of_event': 'Philadelphia'}",In which city? What kind of event do you like? Like Music or Sports or anything else?,I'd love a Music event here in Philadelphia.,"[0.5, 0.5, 0.5, 0.5, 0.5]","[0.8, 0.4, 0.6, 0.7, 0.3]","[0.15553544461727142, 0.24279624223709106, 0.18758662045001984, 0.18556754291057587, 0.22851425409317017]","[0.15830697119235992, 0.2358475774526596, 0.1900494247674942, 0.18930548429489136, 0.22649048268795013]","[0.3444645553827286, 0.25720375776290894, 0.31241337954998016, 0.31443245708942413, 0.27148574590682983]","[0.6416930288076401, 0.16415242254734042, 0.4099505752325058, 0.5106945157051086, 0.07350951731204985]"
