id,system,user,intent
0,Please confirm Doctor appointment at 2400 Samaritan Drive #105 on March 9th at 5:15 pm.,Fantastic.,"Service name: Calendar_1
Active intent: AddEvent
Requested slots: 
Slot values: {}"
1,Do you want anything else?,Nope. That is all I need. Thank you.,"Service name: RentalCars_2
Active intent: 
Requested slots: 
Slot values: {}"
2,The venue starts at 5 pm at 100 California Drive,Thanks for the help thats what I need now.,"Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}"
3,"The reservation has been a success, have fun!","Thanks so much, I don't need anything else right now.","Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}"
4,Is there anything else I can do for you today?,"No, you've got it covered. Thank you again.","Service name: Services_3
Active intent: 
Requested slots: 
Slot values: {}"
5,Where are you visiting?,I am going to Vancouver.,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {'destination_city': 'Vancouver'}"
6,It arrives at 5:56 am.,When does the returning flight arrive? How many stops are there?,"Service name: Flights_2
Active intent: SearchRoundtripFlights
Requested slots: inbound_arrival_time, number_stops
Slot values: {}"
7,Check-out date will be on?,It will be great to be in 8th of March.,"Service name: Hotels_3
Active intent: ReserveHotel
Requested slots: 
Slot values: {'check_out_date': '8th of March'}"
8,Where will you be going?,"If all goes as planned, I'll be going to SF on the 10th of this month.","Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {'leaving_date': '10th of this month', 'to_location': 'SF'}"
9,I've confirmed the tickets for you.,Great thank you.,"Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {}"
10,In which city? What kind of event do you like? Like Music or Sports or anything else?,I'd love a Music event here in Philadelphia.,"Service name: Events_1
Active intent: FindEvents
Requested slots: 
Slot values: {'category': 'Music', 'city_of_event': 'Philadelphia'}"
11,"Great, I was able to reserve your ticket.","Alright, now i'm going to need to search for a hotel that takes pets.","Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'pets_welcome': 'True', 'location': '[CLS]'}"
12,The house at 1000 1st Avenue is among 10 houses that you may like. It has a rating of 4.5.,"I'd like to consider other houses with a 4.5 rating, or even higher.","Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {'rating': '4 . 5'}"
13,"Yes, I can do that. Until what date will you need this car?",I need a car that will be available through March 5th.,"Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {'dropoff_date': 'March 5th'}"
14,The cab should be here in 3 minutes.,Thank you for your help.,"Service name: RideSharing_2
Active intent: GetRide
Requested slots: 
Slot values: {}"
15,No problem. Can I help you with anything else?,"No, not right now. Thanks again!","Service name: Flights_1
Active intent: 
Requested slots: 
Slot values: {}"
16,I found 7 buses. One costs $70 and departs at 7:40 am with 1 transfer.,Great. Please reserve it.,"Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'leaving_time': '7 : 40 am'}"
17,"Sorry, I couldn't book the tickets. How about a bus departing at 6:40 am for $11 per person?","Yeah, that's okay.","Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'leaving_time': '6 : 40 am'}"
18,I've successfully booked your tickets.,Thanks so much for everything. Can you also look for two hotel rooms at the destination?,"Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: 
Slot values: {}"
19,Kingsford Smith International Airport. It arrives at 1:06 pm,"Ok, It's good for me. I need a house to stay there","Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {'where_to': '[CLS]'}"
20,When will you be back?,I'll be back on the 11th of this month.,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'return_date': '11th of this month'}"
21,Would you like me to book the tickets for you?,"No, Don't book the tickets now. Can you get back to reserving 3 rooms in the hotel you found?","Service name: Buses_1
Active intent: 
Requested slots: 
Slot values: {}"
22,Right now it's 102 degrees Fahrenheit with a 0 percent change of raining.,"It sounds delightful, I need to get a cab.","Service name: Weather_1
Active intent: GetWeather
Requested slots: 
Slot values: {}"
23,$140 in full,anything rlse there?,"Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {}"
24,The average temperature for the day should be around 70 degrees Fahrenheit. There is 38 percent chance for rain.,"Yeah, sure. Can you help me to find any kind of attraction that would be cool there?","Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'category': 'dontcare', 'location': '[CLS]'}"
25,Confirming that you want 4 tickets to Amber Run Brooklyn taking place in New York on March 11th?,No. Just one ticket.,"Service name: Events_1
Active intent: BuyEventTickets
Requested slots: 
Slot values: {'number_of_seats': '1'}"
26,You will leave from Union Plaza and arrive at Salesforce Transit Center.,Great. I would like to purchase 2 bus tickets.,"Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'fare_type': 'Economy', 'group_size': '2', 'departure_time': '[CLS]'}"
27,The address is 100 Shoreditch High Street and phone number is +44 20 7613 9800.,"Is anything else available? I need hotels around Paris, France. I need three rooms.","Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'number_of_rooms': '3', 'location': 'Paris , France'}"
28,Okay. The car is reserved.,"Okay, great. While I have the car, I want to check out a funny movie at AMC Metreon.","Service name: Movies_1
Active intent: FindMovies
Requested slots: 
Slot values: {'genre': 'funny', 'theater_name': 'AMC Metreon'}"
29,please confirm your shared ride for 3 people going to 140 new montgomery street #1,yes please,"Service name: RideSharing_1
Active intent: GetRide
Requested slots: 
Slot values: {}"
30,,Please help me find one-way flights.,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {}"
31,"There are 10 houses in the area. Do you want a hotel of 4.3 rating located at 12, doctor apj abdul kalam road, new delhi","Perfect, thats all i need","Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {}"
32,"Will you be looking for a dermatologist, ophthalmologist or something else?",I need an ophthalmologist.,"Service name: Services_3
Active intent: FindProvider
Requested slots: 
Slot values: {'type': 'Ophthalmologist'}"
33,Do you wish to play the movie?,Nope. I am not interested in doing it.,"Service name: Media_1
Active intent: 
Requested slots: 
Slot values: {}"
34,I found a Compact Chevrolet Bolt car for pick up on March 4th from John Wayne Airport.,Can you find me it's total cost?,"Service name: RentalCars_2
Active intent: GetCarsAvailable
Requested slots: total_price
Slot values: {}"
35,Please confirm the following: Play Breakthrough with no subtitles.,"No, I want subtitles.","Service name: Media_1
Active intent: PlayMovie
Requested slots: 
Slot values: {'subtitles': 'True'}"
36,What time do you want to eat?,Book a table for 2 at eleven in the morning.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'party_size': '2', 'time': 'eleven in the morning'}"
37,Would you like my help with anything else?,Could you also check for a round-trip flight going there?,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'passengers': '4', 'destination_city': '[CLS]', 'origin_city': '[CLS]'}"
38,,I need tickets for a short flight i need to get.,"Service name: Flights_1
Active intent: ReserveRoundtripFlights
Requested slots: 
Slot values: {}"
